Bang_cap,Nam_kinh_nghiem,Nang_luc_work,He_so_trach_nhiem,Y_thuc_trach_nhiem,Luong,Tang
Cao dang,0,B,1,D,4.2,
Cao dang,2,C,1,B,23.1,
Cao dang,0,C,1,C,17.85,
Cao dang,5,D,1,C,8.4,
Khong bang cap,0,C,1,A,5.25,
Cao dang,3,B,1,D,5.25,
Cao dang,6,A,1.5,B,33.075,
Dai hoc,23,D,1,D,25.2,
Cao dang,2,D,1,D,8.4,
Dai hoc,19,A,4,A,58.8,
Dai hoc,5,D,1,B,9.45,
Cao dang,3,A,1,D,25.2,
Thac si,1,A,1.5,D,33.075,
Khong bang cap,1,B,1,B,7.35,
Khong bang cap,8,D,1.5,D,14.175,
Dai hoc,6,A,1,D,16.8,
Thac si,7,A,1,C,21,
Khong bang cap,1,A,1,B,9.45,
Dai hoc,20,A,4,D,29.4,
Dai hoc,8,B,1,D,21,
Cao dang,4,A,1,D,23.1,
Khong bang cap,0,C,1.5,C,11.025,
Dai hoc,4,C,1,D,23.1,
Dai hoc,9,D,1,B,6.3,
Cao dang,2,A,1,D,16.8,
Cao dang,8,A,1,D,8.4,
Dai hoc,1,C,1.5,B,12.6,
Cao dang,0,A,1,C,10.5,
Cao dang,8,A,1,B,7.35,
Cao dang,0,D,1,C,4.2,
Khong bang cap,13,A,1,B,5.25,
Cao dang,0,A,1,A,12.6,
Khong bang cap,2,D,1,B,6.3,
Cao dang,8,C,1,B,18.9,
Cao dang,0,C,1,A,7.35,
Dai hoc,3,A,1,B,5.25,
Cao dang,5,D,1,B,5.25,
Cao dang,1,D,1,C,5.25,
Dai hoc,0,C,1,B,17.85,
Dai hoc,0,C,1,A,16.8,
Cao dang,0,A,1,D,17.85,
Khong bang cap,0,C,1,B,9.45,
Khong bang cap,11,A,1,A,11.55,
Khong bang cap,3,C,1,C,8.4,
Cao dang,2,D,1,C,17.85,
Thac si,6,A,1,B,21,
Khong bang cap,0,B,1,D,13.65,
Cao dang,0,D,1,A,15.75,
Cao dang,0,A,1.5,B,12.6,
Dai hoc,0,B,1,D,14.7,
Dai hoc,10,B,1,C,13.65,
Cao dang,2,C,1,C,6.3,
Cao dang,1,C,1,C,19.95,
Cao dang,2,D,1.5,D,6.3,
Dai hoc,2,A,1,B,14.7,
Cao dang,19,C,1,B,18.9,
Dai hoc,3,D,1.5,D,22.05,
Dai hoc,3,A,1,A,11.55,
Cao dang,0,C,1,C,23.1,
Cao dang,5,A,1,C,10.5,
Dai hoc,0,D,1.5,D,23.625,
Khong bang cap,8,B,1,C,5.25,
Cao dang,1,A,1.5,A,7.875,
Dai hoc,1,B,1,C,6.3,
Thac si,4,A,1.5,C,31.5,
Cao dang,0,B,1,C,15.75,
Dai hoc,9,D,1,A,22.05,
Cao dang,3,A,1,C,9.45,
Khong bang cap,2,D,1,A,9.45,
Dai hoc,2,D,1,A,5.25,
Cao dang,10,C,1,A,25.2,
Dai hoc,0,A,1,D,7.35,
Khong bang cap,3,D,1,C,25.2,
Dai hoc,0,C,1,B,4.2,
Dai hoc,10,A,4,D,71.4,
Cao dang,0,A,1,C,25.2,
Dai hoc,18,A,1,A,23.1,
Khong bang cap,1,D,1,A,5.25,
Cao dang,2,B,1,C,14.7,
Khong bang cap,8,D,1,B,19.95,
Cao dang,0,C,1,B,8.4,
Cao dang,6,C,1.5,A,6.3,
Dai hoc,10,B,1,D,13.65,
Dai hoc,0,B,1,B,16.8,
Cao dang,0,D,1,C,5.25,
Dai hoc,6,C,1,C,22.05,
Dai hoc,5,B,1.5,C,12.6,
Cao dang,2,D,1,C,12.6,
Khong bang cap,0,B,1.5,B,11.025,
Thac si,0,A,1,B,16.8,
Dai hoc,2,D,1,D,7.35,
Dai hoc,0,A,1,C,5.25,
Cao dang,2,B,1,C,5.25,
Dai hoc,9,A,1,B,10.5,
Cao dang,6,C,1,A,17.85,
Thac si,0,A,1,D,15.75,
Dai hoc,0,D,1.5,B,12.6,
Cao dang,12,C,1,D,4.2,
Dai hoc,0,A,1.5,B,11.025,
Cao dang,0,C,1,C,9.45,
Cao dang,1,A,1.5,C,22.05,
Thac si,2,A,1,A,15.75,
Thac si,1,A,1,A,15.75,
Thac si,1,A,1,D,15.75,
Dai hoc,0,A,1.5,D,20.475,
Cao dang,24,D,1,D,15.75,
Cao dang,2,A,1,C,10.5,
Dai hoc,1,D,1,A,16.8,
Khong bang cap,0,B,1,C,12.6,
Cao dang,3,D,1,A,25.2,
Cao dang,29,D,1,A,6.3,
Cao dang,3,B,1,D,13.65,
Dai hoc,5,C,1,A,8.4,
Dai hoc,2,A,1,D,21,
Khong bang cap,0,A,1.5,D,6.3,
Dai hoc,18,C,1,B,12.6,
Cao dang,0,D,1,C,12.6,
Khong bang cap,2,D,1,D,19.95,
Cao dang,0,C,1,D,21,
Khong bang cap,7,C,1.5,B,15.75,
Cao dang,2,D,1,B,18.9,
Cao dang,1,A,1,D,12.6,
Dai hoc,1,B,1,D,11.55,
Cao dang,7,D,1,A,10.5,
Cao dang,11,A,1,D,18.9,
Dai hoc,1,B,1,A,17.85,
Dai hoc,0,D,1,A,24.15,
Dai hoc,3,A,1,C,22.05,
Dai hoc,4,B,1,A,8.4,
Cao dang,8,B,1,A,16.8,
Dai hoc,6,C,1,B,14.7,
Dai hoc,7,B,1.5,D,11.025,
Dai hoc,1,B,1,B,12.6,
Cao dang,6,C,1,D,7.35,
Cao dang,3,D,1.5,D,17.325,
Dai hoc,12,A,1,A,16.8,
Khong bang cap,2,D,1,C,5.25,
Dai hoc,5,C,1,B,12.6,
Khong bang cap,7,A,1,C,21,
Cao dang,9,B,1,C,12.6,
Dai hoc,1,A,1,A,8.4,
Cao dang,33,C,1,A,8.4,
Cao dang,14,B,1,D,13.65,
Dai hoc,7,D,1,C,22.05,
Cao dang,24,B,1,D,8.4,
Cao dang,11,C,1,C,12.6,
Dai hoc,0,C,1.5,A,11.025,
Dai hoc,8,C,1,D,9.45,
Dai hoc,0,D,1,C,6.3,
Cao dang,14,B,1,D,5.25,
Dai hoc,0,A,1,A,12.6,
Dai hoc,1,D,1,C,6.3,
Cao dang,22,B,1,D,16.8,
Khong bang cap,2,A,1,D,4.2,
Dai hoc,1,C,1,C,13.65,
Thac si,0,A,1.5,C,31.5,
Dai hoc,0,B,1,D,28.35,
Cao dang,6,A,1,C,21,
Cao dang,1,A,1,A,23.1,
Khong bang cap,4,B,1,D,24.15,
Cao dang,3,A,1.5,B,7.875,
Cao dang,0,A,1,D,18.9,
Khong bang cap,3,C,1,B,9.45,
Dai hoc,0,C,1.5,B,15.75,
Dai hoc,7,D,1.5,B,28.35,
Dai hoc,2,A,1,B,7.35,
Cao dang,7,B,1,C,23.1,
Cao dang,16,D,1,A,12.6,
Thac si,0,B,1,A,15.75,
Dai hoc,12,D,1,B,27.3,
Dai hoc,16,D,1,D,24.15,
Dai hoc,4,A,1.5,A,14.175,
Cao dang,3,D,1.5,A,36.225,
Cao dang,0,D,1,C,18.9,
Dai hoc,0,D,1,A,9.45,
Cao dang,1,B,1.5,A,6.3,
Thac si,6,A,1.5,D,26.775,
Dai hoc,0,C,1,C,5.25,
Cao dang,0,B,1,D,12.6,
Khong bang cap,12,A,1,A,21,
Dai hoc,8,D,1,B,6.3,
Dai hoc,3,B,1.5,B,9.45,
Cao dang,24,D,1,B,25.2,
Khong bang cap,19,A,4,B,50.4,
Cao dang,1,C,1,A,4.2,
Tien si,9,A,1,B,23.1,
Dai hoc,4,A,1,A,25.2,
Khong bang cap,1,B,1,A,19.95,
Cao dang,0,A,1,B,7.35,
Khong bang cap,0,B,1,D,14.7,
Cao dang,4,D,1.5,D,15.75,
Dai hoc,1,A,1,C,8.4,
Dai hoc,7,B,1,C,6.3,
Cao dang,0,A,1,C,21,
Khong bang cap,2,A,1.5,C,31.5,
Dai hoc,8,C,1.5,A,28.35,
Cao dang,0,D,1,A,8.4,
Khong bang cap,0,D,1,D,25.2,
Khong bang cap,9,C,1,B,10.5,
Cao dang,4,B,1,A,7.35,
Cao dang,3,C,1.5,B,7.875,
Dai hoc,0,C,1,B,6.3,
Cao dang,0,C,1.5,D,22.05,
Thac si,3,A,1,D,17.85,
Dai hoc,0,D,1,D,8.4,
Cao dang,4,B,1.5,A,17.325,
Cao dang,6,D,1,A,10.5,
Khong bang cap,2,B,1,A,18.9,
Khong bang cap,0,D,1,D,5.25,
Cao dang,1,B,1,D,11.55,
Dai hoc,13,B,1,B,9.45,
Cao dang,3,B,1,D,4.2,
Cao dang,5,B,1,B,17.85,
Cao dang,0,B,1,B,14.7,
Khong bang cap,6,C,1,B,6.3,
Dai hoc,0,C,1,A,23.1,
Cao dang,18,C,1,D,10.5,
Cao dang,12,A,1,B,24.15,
Cao dang,0,A,1,D,11.55,
Cao dang,3,D,1,C,22.05,
Khong bang cap,0,B,1,C,17.85,
Dai hoc,1,C,1,A,22.05,
Cao dang,6,A,1,A,10.5,
Cao dang,2,D,1.5,D,18.9,
Dai hoc,3,D,1,C,23.1,
Dai hoc,4,D,1,B,22.05,
Dai hoc,24,A,1,C,19.95,
Dai hoc,1,A,1,A,17.85,
Cao dang,0,C,1,A,27.3,
Khong bang cap,0,B,1.5,A,18.9,
Khong bang cap,0,B,1,C,19.95,
Cao dang,17,A,1,D,16.8,
Khong bang cap,0,A,1.5,D,33.075,
Dai hoc,3,C,1,C,5.25,
Cao dang,2,A,1,C,18.9,
Cao dang,1,D,1,A,9.45,
Cao dang,0,C,1,D,18.9,
Cao dang,8,C,1,D,10.5,
Khong bang cap,5,B,1,D,13.65,
Dai hoc,8,B,1,C,11.55,
Dai hoc,8,A,1,D,9.45,
Dai hoc,0,D,1,A,25.2,
Cao dang,0,D,1,A,10.5,
Thac si,38,A,1,A,19.95,
Dai hoc,0,B,1,A,4.2,
Cao dang,3,A,1,B,13.65,
Dai hoc,2,C,1,C,24.15,
Dai hoc,9,C,1,A,21,
Cao dang,1,B,1,A,25.2,
Khong bang cap,3,A,1,A,4.2,
Khong bang cap,4,D,1,A,14.7,
Dai hoc,0,D,1,C,12.6,
Dai hoc,2,C,1,C,13.65,
Dai hoc,1,A,1,B,14.7,
Cao dang,4,B,1,A,25.2,
Cao dang,0,B,1,A,14.7,
Cao dang,0,C,1,B,24.15,
Dai hoc,2,A,1,B,8.4,
Thac si,0,A,1,D,25.2,
Cao dang,1,D,1,A,15.75,
Dai hoc,0,A,1.5,C,36.225,
Khong bang cap,0,C,1.5,D,11.025,
Cao dang,0,A,1,D,14.7,
Cao dang,1,B,1,C,19.95,
Cao dang,8,D,1,A,7.35,
Dai hoc,1,C,1.5,C,12.6,
Cao dang,0,A,1,C,16.8,
Dai hoc,1,C,1,D,11.55,
Dai hoc,3,B,1,A,9.45,
Thac si,2,A,1,A,25.2,
Dai hoc,2,B,1.5,D,26.775,
Dai hoc,7,C,1.5,B,11.025,
Cao dang,3,C,1,B,8.4,
Cao dang,10,D,1,D,5.25,
Cao dang,0,A,1,B,8.4,
Khong bang cap,1,A,1,B,15.75,
Khong bang cap,0,B,1,C,7.35,
Dai hoc,1,A,1,B,14.7,
Dai hoc,1,C,1,A,17.85,
Dai hoc,10,D,1,B,7.35,
Cao dang,1,C,1,D,25.2,
Dai hoc,3,A,1,C,13.65,
Cao dang,7,B,1,C,11.55,
Cao dang,8,B,1,A,10.5,
Dai hoc,1,B,1,C,5.25,
Cao dang,4,D,1,B,5.25,
Cao dang,2,C,1.5,C,20.475,
Cao dang,3,D,1,B,9.45,
Thac si,0,B,1,A,19.95,
Dai hoc,1,C,1,A,8.4,
Cao dang,4,D,1,D,15.75,
Dai hoc,2,A,1.5,D,23.625,
Cao dang,8,B,1,A,8.4,
Cao dang,1,A,1,C,8.4,
Dai hoc,32,D,1,D,8.4,
Cao dang,5,B,1,C,6.3,
Khong bang cap,1,B,1,D,8.4,
Dai hoc,1,D,1.5,D,18.9,
Dai hoc,0,C,1,A,8.4,
Khong bang cap,0,A,1,D,24.15,
Khong bang cap,0,C,1,D,15.75,
Dai hoc,0,C,1,A,22.05,
Dai hoc,3,C,1,D,7.35,
Cao dang,2,B,1,C,11.55,
Dai hoc,8,D,1,C,13.65,
Cao dang,6,B,1,B,13.65,
Cao dang,15,B,1,D,18.9,
Dai hoc,1,A,1,A,4.2,
Dai hoc,2,A,1.5,D,18.9,
Dai hoc,1,A,1,A,23.1,
Cao dang,2,B,1,A,11.55,
Dai hoc,1,B,1,B,21,
Cao dang,0,D,1.5,A,9.45,
Dai hoc,1,C,1,C,9.45,
Khong bang cap,0,A,1,A,5.25,
Dai hoc,0,C,1,C,19.95,
Cao dang,5,B,1.5,B,22.05,
Cao dang,15,C,1,D,23.1,
Dai hoc,0,B,1,D,23.1,
Cao dang,1,C,1,B,22.05,
Dai hoc,21,C,1,D,21,
Cao dang,0,A,1,A,23.1,
Dai hoc,2,B,1,B,4.2,
Cao dang,0,D,1,A,8.4,
Dai hoc,13,A,4,D,92.4,
Cao dang,20,B,1,A,18.9,
Cao dang,0,B,1,B,10.5,
Dai hoc,4,B,1,C,8.4,
Dai hoc,0,C,1.5,B,29.925,
Cao dang,1,C,1,A,17.85,
Dai hoc,1,B,1,B,22.05,
Cao dang,5,C,1.5,D,25.2,
Khong bang cap,2,C,1.5,A,15.75,
Khong bang cap,10,B,1,A,11.55,
Dai hoc,1,C,1,D,12.6,
Cao dang,0,B,1,A,18.9,
Cao dang,4,D,1.5,C,20.475,
Dai hoc,17,A,1,C,14.7,
Cao dang,0,C,1,D,9.45,
Cao dang,9,B,1,C,6.3,
Dai hoc,2,C,1,B,11.55,
Cao dang,0,B,1,D,18.9,
Khong bang cap,0,B,1,C,9.45,
Cao dang,6,A,1,B,16.8,
Dai hoc,1,B,1,C,8.4,
Khong bang cap,0,D,1,D,4.2,
Dai hoc,8,D,1,B,13.65,
Dai hoc,0,C,1,A,25.2,
Khong bang cap,3,B,1,A,6.3,
Cao dang,4,B,1,B,4.2,
Khong bang cap,2,B,1,B,21,
Cao dang,1,D,1,D,19.95,
Khong bang cap,3,C,1,D,18.9,
Khong bang cap,34,B,1,C,17.85,
Dai hoc,9,D,1,A,10.5,
Dai hoc,3,C,1,D,11.55,
Dai hoc,3,C,1.5,A,17.325,
Cao dang,6,C,1.5,C,28.35,
Dai hoc,2,B,1,C,11.55,
Dai hoc,10,D,1,B,15.75,
Khong bang cap,4,C,1,A,11.55,
Cao dang,16,C,1,B,21,
Dai hoc,0,B,1,A,6.3,
Dai hoc,3,A,1,B,23.1,
Cao dang,0,B,1,B,12.6,
Cao dang,7,A,1,B,19.95,
Cao dang,0,C,1,D,13.65,
Khong bang cap,0,A,1,C,6.3,
Cao dang,3,D,1,D,13.65,
Cao dang,1,A,1.5,D,18.9,
Dai hoc,1,A,1,D,22.05,
Cao dang,7,D,1,C,11.55,
Cao dang,0,A,1,B,22.05,
Cao dang,4,C,1.5,B,15.75,
Dai hoc,2,A,1,B,13.65,
Dai hoc,7,D,1.5,C,22.05,
Cao dang,8,A,1,C,10.5,
Cao dang,12,D,1,C,14.7,
Khong bang cap,6,C,1,C,6.3,
Cao dang,6,C,1,C,23.1,
Cao dang,0,C,1,C,17.85,
Cao dang,6,B,1,C,25.2,
Cao dang,0,B,1,C,9.45,
Cao dang,0,C,1.5,A,45.675,
Dai hoc,5,D,1,B,5.25,
Cao dang,5,B,1,A,9.45,
Khong bang cap,14,B,1,A,9.45,
Cao dang,9,B,1,D,7.35,
Khong bang cap,0,D,1,B,8.4,
Dai hoc,7,C,1.5,C,7.875,
Cao dang,2,C,1,C,16.8,
Cao dang,6,B,1,A,10.5,
Cao dang,12,D,1,C,9.45,
Dai hoc,18,A,1,B,8.4,
Dai hoc,1,C,1,D,6.3,
Thac si,2,B,1.5,A,26.775,
Dai hoc,8,A,1,A,26.25,
Dai hoc,1,D,1,D,25.2,
Cao dang,2,C,1,A,11.55,
Dai hoc,2,D,1,A,19.95,
Dai hoc,3,A,1,D,14.7,
Dai hoc,0,A,1,A,9.45,
Khong bang cap,0,B,1,D,8.4,
Dai hoc,13,C,1,A,7.35,
Khong bang cap,0,D,1,D,16.8,
Cao dang,0,A,1,B,17.85,
Dai hoc,5,B,1,C,23.1,
Dai hoc,2,D,1,C,23.1,
Cao dang,6,A,1,D,12.6,
Khong bang cap,1,C,1.5,A,9.45,
Dai hoc,2,A,1.5,A,12.6,
Cao dang,7,D,1,A,7.35,
Cao dang,7,B,1,D,25.2,
Cao dang,3,B,1,C,16.8,
Dai hoc,2,C,1,B,8.4,
Khong bang cap,1,C,1,A,18.9,
Dai hoc,1,B,1.5,D,25.2,
Dai hoc,0,D,1,C,11.55,
Dai hoc,6,B,1,C,6.3,
Dai hoc,8,A,1,B,10.5,
Cao dang,0,A,1.5,D,23.625,
Cao dang,0,B,1,C,23.1,
Dai hoc,5,A,1.5,A,26.775,
Cao dang,0,B,1.5,C,22.05,
Dai hoc,9,C,1,B,18.9,
Cao dang,7,A,1,B,6.3,
Cao dang,4,B,1,B,17.85,
Dai hoc,0,D,1,A,19.95,
Cao dang,1,C,1,B,9.45,
Dai hoc,1,A,1,C,25.2,
Dai hoc,1,C,1,D,15.75,
Dai hoc,7,D,1,D,8.4,
Dai hoc,6,D,1,A,19.95,
Cao dang,25,B,1,D,14.7,
Thac si,3,A,1,A,15.75,
Cao dang,4,D,1,C,4.2,
Khong bang cap,4,B,1.5,A,18.9,
Thac si,0,A,1,D,25.2,
Cao dang,13,A,1,B,11.55,
Dai hoc,0,D,1,A,23.1,
Cao dang,2,A,1,D,9.45,
Dai hoc,3,A,1.5,D,6.3,
Cao dang,4,A,1,D,10.5,
Cao dang,15,C,1,B,23.1,
Dai hoc,7,A,1,D,30.45,
Dai hoc,0,C,1,C,22.05,
Cao dang,4,D,1,C,13.65,
Cao dang,0,D,1,A,23.1,
Dai hoc,4,B,1,B,8.4,
Khong bang cap,3,B,1,D,7.35,
Cao dang,9,A,1,C,18.9,
Dai hoc,10,A,1,D,7.35,
Cao dang,1,A,1,D,19.95,
Cao dang,6,C,1,D,25.2,
Thac si,3,A,1,B,29.4,
Cao dang,0,B,1,C,18.9,
Dai hoc,3,C,1,C,5.25,
Dai hoc,0,A,1,B,19.95,
Khong bang cap,14,D,1,A,19.95,
Dai hoc,5,C,1,A,25.2,
Dai hoc,5,D,1,A,18.9,
Thac si,9,A,1,C,16.8,
Cao dang,0,D,1.5,C,6.3,
Cao dang,10,A,4,D,63,
Dai hoc,0,A,1,B,8.4,
Khong bang cap,6,D,1,D,25.2,
Dai hoc,0,A,1,D,17.85,
Cao dang,20,A,1,D,10.5,
Cao dang,2,C,1,A,5.25,
Cao dang,3,D,1,C,18.9,
Dai hoc,2,D,1,C,9.45,
Cao dang,10,D,1,B,12.6,
Khong bang cap,3,D,1,B,9.45,
Dai hoc,9,A,4,A,71.4,
Dai hoc,0,C,1.5,A,31.5,
Cao dang,0,A,1,C,12.6,
Cao dang,0,A,1,C,13.65,
Cao dang,1,A,1,A,7.35,
Dai hoc,0,A,1.5,C,18.9,
Dai hoc,1,B,1.5,C,31.5,
Cao dang,4,B,1,C,6.3,
Khong bang cap,15,C,1,C,12.6,
Khong bang cap,1,D,1,D,22.05,
Dai hoc,4,C,1,C,6.3,
Dai hoc,1,D,1,A,25.2,
Cao dang,0,A,1,B,11.55,
Cao dang,1,B,1.5,D,7.875,
Dai hoc,5,A,1,B,13.65,
Thac si,1,A,1.5,C,28.35,
Dai hoc,1,A,1,C,6.3,
Cao dang,13,B,1,D,25.2,
Dai hoc,0,D,1,C,24.15,
Khong bang cap,0,D,1,C,15.75,
Cao dang,17,B,1,C,23.1,
Dai hoc,1,B,1,D,8.4,
Cao dang,2,C,1,B,8.4,
Cao dang,0,C,1,C,19.95,
Cao dang,7,B,1,D,4.2,
Dai hoc,1,D,1,C,22.05,
Dai hoc,1,C,1,C,12.6,
Cao dang,1,A,1,B,12.6,
Cao dang,1,C,1,B,25.2,
Khong bang cap,3,A,1,A,21,
Dai hoc,6,A,1,D,15.75,
Dai hoc,0,C,1,D,22.05,
Cao dang,1,C,1,A,24.15,
Cao dang,4,C,1,C,24.15,
Dai hoc,8,D,1,C,15.75,
Dai hoc,0,A,1,B,14.7,
Cao dang,0,B,1,C,14.7,
Dai hoc,3,B,1,D,12.6,
Thac si,3,A,1,B,18.9,
Khong bang cap,0,A,1,C,18.9,
Cao dang,0,A,1,C,8.4,
Cao dang,7,B,1,A,14.7,
Dai hoc,6,D,1,A,19.95,
Dai hoc,5,A,1,D,14.7,
Cao dang,3,D,1,D,18.9,
Dai hoc,1,D,1.5,A,31.5,
Cao dang,2,C,1.5,C,31.5,
Cao dang,5,A,1,A,23.1,
Cao dang,4,D,1.5,B,11.025,
Khong bang cap,13,A,1,C,25.2,
Dai hoc,1,A,1,D,18.9,
Dai hoc,9,B,1,B,12.6,
Cao dang,0,C,1,B,7.35,
Cao dang,4,A,1,B,25.2,
Dai hoc,1,D,1.5,A,33.075,
Thac si,5,A,1,C,15.75,
Dai hoc,2,C,1,C,19.95,
Thac si,4,A,1,B,15.75,
Cao dang,0,B,1,A,23.1,
Dai hoc,8,B,1,A,9.45,
Cao dang,3,D,1.5,A,29.925,
Cao dang,37,B,1,B,6.3,
Dai hoc,22,D,1,B,5.25,
Dai hoc,0,B,1,A,4.2,
Dai hoc,4,C,1,B,27.3,
Cao dang,0,C,1,D,24.15,
Dai hoc,2,A,1,D,6.3,
Dai hoc,4,A,1,A,14.7,
Dai hoc,4,C,1,B,11.55,
Khong bang cap,0,D,1.5,B,23.625,
Dai hoc,0,B,1.5,B,28.35,
Cao dang,0,D,1,C,7.35,
Cao dang,3,B,1.5,B,22.05,
Dai hoc,6,A,1,A,5.25,
Khong bang cap,0,B,1,B,10.5,
Dai hoc,2,D,1,D,10.5,
Cao dang,9,B,1,C,4.2,
Cao dang,0,C,1,C,10.5,
Cao dang,0,B,1,C,19.95,
Dai hoc,12,B,1,A,22.05,
Dai hoc,0,A,1,D,8.4,
Dai hoc,5,C,1,D,11.55,
Cao dang,3,A,1,B,5.25,
Dai hoc,1,C,1,D,8.4,
Cao dang,0,B,1,C,5.25,
Khong bang cap,1,C,1,B,5.25,
Tien si,5,A,1,A,24.15,
Dai hoc,6,B,1,B,22.05,
Cao dang,0,C,1,C,14.7,
Dai hoc,11,A,1,C,12.6,
Khong bang cap,4,D,1,C,4.2,
Dai hoc,2,A,1,C,4.2,
Thac si,0,A,1,A,16.8,
Dai hoc,1,D,1,C,15.75,
Cao dang,1,D,1,A,10.5,
Cao dang,8,A,1,C,9.45,
Cao dang,16,B,1,A,25.2,
Cao dang,7,B,1.5,D,20.475,
Dai hoc,7,D,1.5,A,36.225,
Dai hoc,0,D,1,B,11.55,
Khong bang cap,0,A,1,B,14.7,
Dai hoc,1,C,1,D,18.9,
Thac si,7,A,1.5,C,28.35,
Khong bang cap,2,B,1,B,6.3,
Thac si,0,A,1,D,15.75,
Cao dang,0,B,1,C,8.4,
Khong bang cap,5,A,1,A,23.1,
Cao dang,9,A,1,C,9.45,
Khong bang cap,5,A,1,D,6.3,
Cao dang,1,C,1,D,23.1,
Thac si,0,A,1,C,21,
Cao dang,5,A,1,A,15.75,
Dai hoc,1,A,1,D,8.4,
Khong bang cap,1,B,1.5,B,15.75,
Cao dang,6,A,1,A,23.1,
Cao dang,13,D,1,A,22.05,
Dai hoc,4,B,1,A,6.3,
Cao dang,2,B,1,D,11.55,
Cao dang,2,B,1,C,21,
Khong bang cap,2,B,1,B,6.3,
Khong bang cap,0,A,1,A,21,
Dai hoc,14,D,1,D,10.5,
Cao dang,0,C,1,C,17.85,
Dai hoc,0,D,1,D,8.4,
Cao dang,24,A,1,B,4.2,
Dai hoc,2,D,1,D,21,
Thac si,9,A,1,B,28.35,
Thac si,0,A,1,A,21,
Cao dang,1,B,1.5,A,31.5,
Cao dang,0,D,1,B,4.2,
Dai hoc,3,C,1,A,11.55,
Cao dang,16,D,1,D,25.2,
Cao dang,7,C,1,A,16.8,
Dai hoc,0,D,1,C,5.25,
Dai hoc,0,A,1,C,6.3,
Dai hoc,2,A,1,B,22.05,
Cao dang,0,D,1,A,7.35,
Khong bang cap,3,A,1,D,13.65,
Dai hoc,1,C,1,A,17.85,
Cao dang,12,D,1,B,4.2,
Khong bang cap,0,D,1,C,22.05,
Dai hoc,0,A,1,D,17.85,
Dai hoc,0,A,1,C,14.7,
Khong bang cap,1,C,1,D,10.5,
Cao dang,2,D,1,B,12.6,
Dai hoc,0,A,1,B,22.05,
Cao dang,2,D,1,C,10.5,
Dai hoc,0,C,1,B,17.85,
Cao dang,9,C,1,C,11.55,
Cao dang,1,C,1,A,4.2,
Khong bang cap,0,D,1.5,D,34.65,
Dai hoc,11,B,1,A,6.3,
Cao dang,10,B,1,A,22.05,
Dai hoc,4,C,1,B,14.7,
Dai hoc,0,B,1,A,8.4,
Cao dang,0,B,1,B,5.25,
Cao dang,6,B,1,D,9.45,
Dai hoc,4,B,1.5,D,25.2,
Dai hoc,1,C,1.5,C,22.05,
Dai hoc,1,A,1,D,12.6,
Cao dang,0,A,1,B,8.4,
Dai hoc,3,A,1,A,11.55,
Dai hoc,2,A,1,D,14.7,
Dai hoc,2,B,1,D,12.6,
Thac si,1,A,1,A,15.75,
Dai hoc,2,C,1,B,8.4,
Dai hoc,0,D,1,D,17.85,
Khong bang cap,7,B,1,C,8.4,
Dai hoc,5,A,1,A,12.6,
Cao dang,4,C,1,A,23.1,
Dai hoc,0,D,1,C,25.2,
Cao dang,2,A,1.5,B,12.6,
Thac si,4,A,1,D,15.75,
Cao dang,7,A,1,A,19.95,
Cao dang,5,D,1,D,15.75,
Khong bang cap,0,C,1,C,11.55,
Cao dang,0,B,1,B,5.25,
Cao dang,5,B,1,D,22.05,
Dai hoc,0,B,1,B,15.75,
Cao dang,3,D,1,B,10.5,
Cao dang,0,D,1,C,24.15,
Cao dang,1,D,1,A,15.75,
Khong bang cap,0,B,1,C,24.15,
Cao dang,13,A,1,C,22.05,
Cao dang,15,A,1,B,25.2,
Dai hoc,1,A,1,D,18.9,
Thac si,0,A,1,B,16.8,
Dai hoc,0,D,1,C,7.35,
Cao dang,0,D,1,C,14.7,
Dai hoc,3,B,1,C,8.4,
Dai hoc,1,C,1,B,19.95,
Cao dang,0,A,1,D,24.15,
Dai hoc,1,C,1,C,12.6,
Cao dang,1,D,1,D,12.6,
Cao dang,0,C,1,A,16.8,
Cao dang,5,B,1,A,6.3,
Dai hoc,0,C,1,C,22.05,
Cao dang,5,A,1,C,4.2,
Dai hoc,9,B,1,B,15.75,
Dai hoc,0,C,1,D,21,
Dai hoc,1,D,1,D,24.15,
Cao dang,11,B,1,A,6.3,
Dai hoc,8,B,1,C,21,
Dai hoc,5,C,1,C,23.1,
Cao dang,0,A,1,C,22.05,
Cao dang,12,A,1,C,17.85,
Cao dang,7,B,1,D,19.95,
Khong bang cap,0,A,1,C,22.05,
Dai hoc,3,D,1,D,4.2,
Cao dang,11,C,1,A,17.85,
Cao dang,12,B,1,C,14.7,
Khong bang cap,2,D,1,C,17.85,
Dai hoc,1,C,1,B,25.2,
Cao dang,0,D,1,A,7.35,
Cao dang,1,D,1,D,6.3,
Dai hoc,2,C,1,C,12.6,
Cao dang,39,C,1,C,12.6,
Cao dang,3,B,1.5,C,9.45,
Dai hoc,3,D,1,B,22.05,
Cao dang,0,D,1,B,6.3,
Cao dang,11,A,1,B,17.85,
Dai hoc,0,C,1,B,22.05,
Cao dang,0,C,1,D,15.75,
Khong bang cap,4,B,1,B,5.25,
Khong bang cap,5,B,1,A,10.5,
Cao dang,0,A,1,D,18.9,
Cao dang,2,C,1.5,B,29.925,
Dai hoc,0,A,1,B,14.7,
Cao dang,19,A,1,D,11.55,
