,Bang_cap,Nam_kinh_nghiem,Mang_cong_viec,Luong,Luong_cu,Thoi_gian_gan_bo,Nang_luc_work,Xep_loai_bang
3035,Cao dang,1,Ke toan,10.5,10,10,C,Gioi
3036,Dai hoc,13,Ky su R&D,8.4,8,14,D,Gioi
3037,Cao dang,0,Lap trinh vien,16.8,16,1,B,kha
3038,Dai hoc,4,Ky su R&D,14.7,14,3,A,Xuat sac
3039,Cao dang,17,Lap trinh vien,11.55,11,13,D,Trung binh
3040,Dai hoc,0,Lap trinh vien,23.1,22,1,B,Gioi
3041,Cao dang,10,Lap trinh vien,25.2,24,3,A,kha
3042,Khong bang cap,8,Tester,13.65,13,0,D,Khong xep loai
3043,Cao dang,4,Tu van ban hang,9.45,9,7,A,kha
3044,Dai hoc,3,Lap trinh vien,28.35,27,9,A,Xuat sac
3045,Cao dang,7,Lap trinh vien,23.1,22,4,C,Gioi
3046,Dai hoc,4,Lap trinh vien,12.6,12,11,D,kha
3047,Khong bang cap,1,Tu van ban hang,20.475,19.5,1,B,Khong xep loai
3048,Khong bang cap,10,Ky su R&D,37.8,36,14,A,Khong xep loai
3049,Cao dang,4,Lap trinh vien,21,20,4,C,kha
3050,Dai hoc,3,Lap trinh vien,8.4,8,0,B,Gioi
3051,Cao dang,5,Ky su R&D,8.4,8,2,A,Trung binh
3052,Dai hoc,2,PM,18.9,18,0,D,Xuat sac
3053,Cao dang,0,BA,7.35,7,1,C,Gioi
3054,Dai hoc,0,Ky su R&D,12.6,12,0,C,Gioi
3055,Cao dang,13,Lap trinh vien,12.6,12,4,B,Trung binh
3056,Cao dang,4,Ky su R&D,23.625,22.5,6,C,Xuat sac
3057,Dai hoc,3,Lap trinh vien,6.3,6,4,B,Gioi
3058,Khong bang cap,5,Lap trinh vien,14.7,14,4,C,Khong xep loai
3059,Dai hoc,0,Lap trinh vien,22.05,21,0,D,Gioi
3060,Khong bang cap,8,Lap trinh vien,9.45,9,8,C,Khong xep loai
3061,Cao dang,0,Lap trinh vien,16.8,16,0,C,Trung binh
3062,Cao dang,0,Lap trinh vien,11.55,11,4,B,kha
3063,Dai hoc,0,Tester,7.35,7,1,A,Xuat sac
3064,Cao dang,1,Lap trinh vien,5.25,5,3,C,Xuat sac
3065,Dai hoc,1,Lap trinh vien,17.85,17,5,A,kha
3066,Cao dang,2,BA,17.325,16.5,1,C,kha
3067,Cao dang,3,Lap trinh vien,15.75,15,3,A,Trung binh
3068,Dai hoc,0,Lap trinh vien,22.05,21,1,D,Gioi
3069,Khong bang cap,2,Lap trinh vien,12.6,12,2,C,Khong xep loai
3070,Thac si,0,Ky su R&D,19.95,19,1,A,Gioi
3071,Cao dang,1,Ky su R&D,15.75,15,1,D,Gioi
3072,Cao dang,1,Lap trinh vien,24.15,23,0,B,Gioi
3073,Khong bang cap,17,Lap trinh vien,7.35,7,13,A,Khong xep loai
3074,Cao dang,9,Ky su R&D,22.05,21,13,D,Gioi
3075,Cao dang,5,Lap trinh vien,16.8,16,4,A,kha
3076,Cao dang,1,Tester,18.9,18,4,B,Xuat sac
3077,Cao dang,0,Ky su R&D,15.75,15,9,A,kha
3078,Dai hoc,0,Lap trinh vien,10.5,10,1,B,kha
3079,Khong bang cap,1,Tu van ban hang,17.325,16.5,0,C,Khong xep loai
3080,Cao dang,5,Ky su R&D,19.95,19,9,D,kha
3081,Thac si,0,Lap trinh vien,19.95,19,1,B,Xuat sac
3082,Khong bang cap,3,PM,26.25,25,10,C,Khong xep loai
3083,Khong bang cap,1,Ky su R&D,25.2,24,1,B,Khong xep loai
3084,Cao dang,1,PM,40.95,39,0,A,Xuat sac
3085,Cao dang,11,PM,18.9,18,13,A,Xuat sac
3086,Khong bang cap,2,Lap trinh vien,18.9,18,3,A,Khong xep loai
3087,Dai hoc,1,Tu van ban hang,13.65,13,1,B,Trung binh
3088,Dai hoc,26,Lap trinh vien,10.5,10,14,C,Gioi
3089,Dai hoc,29,Lap trinh vien,21,20,7,B,kha
3090,Khong bang cap,4,Lap trinh vien,16.8,16,7,C,Khong xep loai
3091,Khong bang cap,1,Lap trinh vien,25.2,24,4,C,Khong xep loai
3092,Thac si,0,Ke toan,15.75,15,0,A,Trung binh
3093,Khong bang cap,0,Lap trinh vien,23.1,22,1,A,Khong xep loai
3094,Dai hoc,3,Ky su R&D,8.4,8,1,A,kha
3095,Dai hoc,12,Lap trinh vien,12.6,12,0,A,Trung binh
3096,Dai hoc,4,Lap trinh vien,5.25,5,7,B,Xuat sac
3097,Dai hoc,1,PM,17.85,17,0,B,Xuat sac
3098,Cao dang,6,BA,9.45,9,11,C,Gioi
3099,Dai hoc,5,Lap trinh vien,23.1,22,12,C,kha
3100,Thac si,0,Lap trinh vien,23.1,22,0,B,Gioi
3101,Cao dang,2,PM,11.55,11,1,C,Trung binh
3102,Dai hoc,2,BA,28.35,27,3,C,kha
3103,Cao dang,5,PM,13.65,13,7,B,Trung binh
3104,Cao dang,0,PM,11.55,11,0,B,Trung binh
3105,Dai hoc,6,BA,9.45,9,14,C,Xuat sac
3106,Thac si,3,Lap trinh vien,16.8,16,0,A,Gioi
3107,Cao dang,0,Ky su R&D,22.05,21,0,B,kha
3108,Cao dang,2,Lap trinh vien,29.925,28.5,2,B,Xuat sac
3109,Khong bang cap,1,Tester,10.5,10,1,C,Khong xep loai
3110,Cao dang,0,Tester,6.3,6,0,C,Trung binh
3111,Khong bang cap,0,Lap trinh vien,18.9,18,0,C,Khong xep loai
3112,Cao dang,0,Ky su R&D,10.5,10,0,B,Xuat sac
3113,Dai hoc,8,Tu van ban hang,5.25,5,5,B,Xuat sac
3114,Cao dang,9,Lap trinh vien,8.4,8,6,A,kha
3115,Cao dang,0,BA,10.5,10,1,A,Trung binh
3116,Dai hoc,0,Lap trinh vien,7.35,7,7,A,Gioi
3117,Cao dang,0,Ky su R&D,22.05,21,1,A,Gioi
3118,Dai hoc,6,BA,6.3,6,3,B,kha
3119,Cao dang,4,Xu ly data,11.55,11,3,A,Trung binh
3120,Cao dang,1,Lap trinh vien,12.6,12,3,B,Trung binh
3121,Khong bang cap,3,Lap trinh vien,12.6,12,1,B,Khong xep loai
3122,Khong bang cap,6,Lap trinh vien,11.55,11,4,A,Khong xep loai
3123,Cao dang,0,Ky su R&D,33.075,31.5,2,A,kha
3124,Cao dang,1,Lap trinh vien,6.3,6,1,A,kha
3125,Dai hoc,0,Ke toan,10.5,10,0,C,Trung binh
3126,Cao dang,2,Lap trinh vien,15.75,15,8,B,kha
3127,Cao dang,4,Tu van ban hang,12.6,12,10,C,Xuat sac
3128,Cao dang,9,Ke toan,21,20,0,A,Trung binh
3129,Thac si,2,Lap trinh vien,31.5,30,4,A,Trung binh
3130,Dai hoc,0,Lap trinh vien,19.95,19,2,B,Gioi
3131,Dai hoc,1,Lap trinh vien,11.55,11,3,B,Gioi
3132,Cao dang,3,Ke toan,9.45,9,4,B,Gioi
3133,Dai hoc,0,Lap trinh vien,14.7,14,2,A,kha
3134,Khong bang cap,5,Lap trinh vien,4.2,4,6,A,Khong xep loai
3135,Khong bang cap,1,Ky su R&D,14.175,13.5,9,C,Khong xep loai
3136,Cao dang,0,Ky su R&D,17.85,17,1,C,Gioi
3137,Cao dang,6,Ke toan,8.4,8,2,B,kha
3138,Dai hoc,1,Ky su R&D,17.85,17,2,D,kha
3139,Khong bang cap,5,Lap trinh vien,17.85,17,5,A,Khong xep loai
3140,Cao dang,1,Lap trinh vien,6.3,6,1,B,Xuat sac
3141,Dai hoc,12,Lap trinh vien,17.85,17,6,B,Gioi
3142,Dai hoc,1,Tu van ban hang,12.6,12,1,D,kha
3143,Cao dang,0,Lap trinh vien,22.05,21,0,D,Xuat sac
3144,Cao dang,9,Lap trinh vien,6.3,6,7,B,Gioi
3145,Dai hoc,0,Tu van ban hang,12.6,12,0,A,kha
3146,Cao dang,0,BA,8.4,8,4,B,Trung binh
3147,Cao dang,4,Tu van ban hang,13.65,13,0,A,Trung binh
3148,Cao dang,37,Lap trinh vien,15.75,15,9,A,Gioi
3149,Cao dang,1,Ky su R&D,23.1,22,0,A,kha
3150,Dai hoc,1,Lap trinh vien,14.175,13.5,1,A,Trung binh
3151,Dai hoc,3,Lap trinh vien,18.9,18,8,B,Gioi
3152,Cao dang,1,BA,24.15,23,1,C,Trung binh
3153,Dai hoc,16,Tester,7.35,7,11,B,Gioi
3154,Cao dang,0,Tu van ban hang,11.025,10.5,0,A,Gioi
3155,Cao dang,3,Ke toan,6.3,6,5,A,Xuat sac
3156,Cao dang,0,Lap trinh vien,9.45,9,0,D,kha
3157,Dai hoc,0,Lap trinh vien,12.6,12,1,B,Trung binh
3158,Dai hoc,7,BA,8.4,8,4,D,Gioi
3159,Cao dang,4,PM,13.65,13,5,A,Xuat sac
3160,Dai hoc,1,Tu van ban hang,10.5,10,0,A,Gioi
3161,Dai hoc,0,Lap trinh vien,6.3,6,1,B,kha
3162,Cao dang,0,Lap trinh vien,33.075,31.5,2,D,kha
3163,Cao dang,0,Xu ly data,6.3,6,0,D,Gioi
3164,Thac si,4,Ky su R&D,16.8,16,3,A,kha
3165,Cao dang,3,Ky su R&D,24.15,23,8,D,Xuat sac
3166,Dai hoc,1,Lap trinh vien,7.35,7,3,A,Gioi
3167,Cao dang,1,Ky su R&D,15.75,15,5,D,Xuat sac
3168,Khong bang cap,4,Tu van ban hang,10.5,10,5,A,Khong xep loai
3169,Dai hoc,6,Lap trinh vien,6.3,6,6,D,Gioi
3170,Khong bang cap,5,Lap trinh vien,14.7,14,13,A,Khong xep loai
3171,Cao dang,3,Lap trinh vien,23.1,22,11,A,Gioi
3172,Dai hoc,1,Lap trinh vien,17.85,17,4,A,kha
3173,Cao dang,18,Lap trinh vien,13.65,13,3,A,kha
3174,Dai hoc,2,Lap trinh vien,9.45,9,1,D,Xuat sac
3175,Dai hoc,1,BA,13.65,13,1,A,Xuat sac
3176,Khong bang cap,3,Lap trinh vien,12.6,12,0,D,Khong xep loai
3177,Thac si,0,Lap trinh vien,24.15,23,2,A,Trung binh
3178,Cao dang,3,Lap trinh vien,34.65,33,1,D,Gioi
3179,Khong bang cap,9,Lap trinh vien,25.2,24,2,D,Khong xep loai
3180,Khong bang cap,5,Ky su R&D,10.5,10,4,C,Khong xep loai
3181,Khong bang cap,9,PM,46.2,44,6,A,Khong xep loai
3182,Dai hoc,3,Xu ly data,13.65,13,1,B,Xuat sac
3183,Cao dang,10,Tester,50.4,48,12,B,Xuat sac
3184,Dai hoc,4,Tester,6.3,6,6,B,Xuat sac
3185,Dai hoc,0,Tu van ban hang,7.35,7,0,C,Gioi
3186,Cao dang,3,BA,37.8,36,3,B,Xuat sac
3187,Dai hoc,1,Ke toan,11.55,11,1,B,Trung binh
3188,Cao dang,5,Tu van ban hang,22.05,21,5,B,kha
3189,Cao dang,19,Tester,4.2,4,3,C,Xuat sac
3190,Cao dang,6,Lap trinh vien,5.25,5,1,C,Trung binh
3191,Cao dang,5,Lap trinh vien,19.95,19,2,A,kha
3192,Khong bang cap,3,Lap trinh vien,12.6,12,5,D,Khong xep loai
3193,Dai hoc,1,Xu ly data,8.4,8,4,D,Trung binh
3194,Cao dang,39,BA,12.6,12,7,C,Gioi
3195,Cao dang,0,PM,5.25,5,0,A,Xuat sac
3196,Dai hoc,9,Ky su R&D,7.35,7,8,D,Trung binh
3197,Cao dang,2,Lap trinh vien,5.25,5,0,B,Gioi
3198,Dai hoc,2,PM,10.5,10,1,C,Trung binh
3199,Dai hoc,13,Ky su R&D,4.2,4,11,C,Trung binh
3200,Cao dang,6,Ky su R&D,7.35,7,2,B,Gioi
3201,Thac si,0,Xu ly data,15.75,15,2,A,Gioi
3202,Dai hoc,0,Lap trinh vien,12.6,12,0,A,kha
3203,Dai hoc,1,Lap trinh vien,17.325,16.5,0,A,Gioi
3204,Khong bang cap,0,PM,20.475,19.5,0,D,Khong xep loai
3205,Cao dang,2,Lap trinh vien,24.15,23,0,B,Trung binh
3206,Dai hoc,8,Tester,4.2,4,0,D,kha
3207,Thac si,3,PM,24.15,23,3,A,Xuat sac
3208,Cao dang,17,Lap trinh vien,9.45,9,6,A,Gioi
3209,Dai hoc,6,Tu van ban hang,10.5,10,11,D,Trung binh
3210,Dai hoc,1,Lap trinh vien,12.6,12,13,C,Xuat sac
3211,Khong bang cap,0,Lap trinh vien,28.35,27,0,D,Khong xep loai
3212,Thac si,3,Lap trinh vien,25.2,24,2,B,Xuat sac
3213,Thac si,4,Tu van ban hang,23.625,22.5,3,A,kha
3214,Dai hoc,0,Lap trinh vien,11.55,11,1,D,Trung binh
3215,Khong bang cap,0,Lap trinh vien,10.5,10,0,C,Khong xep loai
3216,Dai hoc,0,BA,9.45,9,1,A,Xuat sac
3217,Cao dang,3,Lap trinh vien,22.05,21,5,C,Trung binh
3218,Dai hoc,7,Ky su R&D,18.9,18,7,D,Xuat sac
3219,Dai hoc,5,BA,8.4,8,0,D,kha
3220,Dai hoc,4,PM,22.05,21,2,D,Xuat sac
3221,Khong bang cap,7,Lap trinh vien,11.55,11,0,B,Khong xep loai
3222,Dai hoc,1,Lap trinh vien,24.15,23,1,D,Gioi
3223,Dai hoc,2,BA,17.85,17,3,C,Trung binh
3224,Cao dang,9,Lap trinh vien,24.15,23,4,D,Gioi
3225,Dai hoc,2,BA,21,20,4,B,Gioi
3226,Khong bang cap,2,Lap trinh vien,7.35,7,1,D,Khong xep loai
3227,Khong bang cap,2,Lap trinh vien,25.2,24,4,C,Khong xep loai
3228,Dai hoc,0,Lap trinh vien,10.5,10,1,A,Xuat sac
3229,Dai hoc,2,Lap trinh vien,19.95,19,3,A,Xuat sac
3230,Dai hoc,1,PM,26.25,25,9,D,Xuat sac
3231,Cao dang,4,Tu van ban hang,9.45,9,9,D,Trung binh
3232,Dai hoc,3,Lap trinh vien,34.65,33,12,D,Xuat sac
3233,Cao dang,10,Ke toan,14.7,14,13,A,Trung binh
3234,Khong bang cap,2,Lap trinh vien,7.35,7,2,C,Khong xep loai
3235,Khong bang cap,7,Lap trinh vien,6.3,6,12,B,Khong xep loai
3236,Cao dang,5,Lap trinh vien,31.5,30,1,A,kha
3237,Cao dang,5,Tu van ban hang,6.3,6,5,A,kha
3238,Dai hoc,5,Lap trinh vien,6.3,6,5,D,kha
3239,Cao dang,0,Ky su R&D,25.2,24,5,C,Xuat sac
3240,Tien si,22,Ky su R&D,25.2,24,0,A,Khong xep loai
3241,Khong bang cap,8,PM,8.4,8,9,B,Khong xep loai
3242,Dai hoc,5,Lap trinh vien,26.775,25.5,4,D,Trung binh
3243,Cao dang,8,Ky su R&D,25.2,24,10,B,Gioi
3244,Khong bang cap,1,Ky su R&D,9.45,9,10,B,Khong xep loai
3245,Cao dang,0,Lap trinh vien,8.4,8,9,C,Gioi
3246,Cao dang,2,BA,11.55,11,2,A,Xuat sac
3247,Cao dang,7,Lap trinh vien,13.65,13,8,C,Trung binh
3248,Cao dang,0,Lap trinh vien,24.15,23,1,B,Gioi
3249,Thac si,1,Lap trinh vien,16.8,16,1,A,Trung binh
3250,Cao dang,16,Ky su R&D,8.4,8,9,A,kha
3251,Cao dang,4,Lap trinh vien,17.85,17,3,C,Trung binh
3252,Dai hoc,0,Ky su R&D,20.475,19.5,0,C,Gioi
3253,Cao dang,5,Lap trinh vien,24.15,23,5,B,Gioi
3254,Dai hoc,9,BA,4.2,4,8,B,kha
3255,Khong bang cap,1,Lap trinh vien,22.05,21,13,A,Khong xep loai
3256,Dai hoc,0,Ky su R&D,15.75,15,1,B,Trung binh
3257,Dai hoc,4,Ky su R&D,8.4,8,3,A,kha
3258,Dai hoc,8,Lap trinh vien,22.05,21,3,B,Xuat sac
3259,Cao dang,1,Xu ly data,6.3,6,0,D,Xuat sac
3260,Khong bang cap,0,Lap trinh vien,9.45,9,2,C,Khong xep loai
3261,Cao dang,1,Ky su R&D,21,20,1,C,kha
3262,Dai hoc,8,Lap trinh vien,15.75,15,2,D,Xuat sac
3263,Dai hoc,1,Lap trinh vien,22.05,21,3,A,Trung binh
3264,Cao dang,13,Lap trinh vien,14.7,14,3,D,Gioi
3265,Dai hoc,0,Xu ly data,14.175,13.5,0,B,Xuat sac
3266,Cao dang,0,Tu van ban hang,11.55,11,0,A,kha
3267,Cao dang,3,Lap trinh vien,12.6,12,4,D,Trung binh
3268,Dai hoc,3,Lap trinh vien,9.45,9,4,D,Xuat sac
3269,Cao dang,4,Lap trinh vien,18.9,18,1,D,Xuat sac
3270,Cao dang,4,Lap trinh vien,37.8,36,9,B,Gioi
3271,Dai hoc,1,Ky su R&D,13.65,13,1,C,Gioi
3272,Dai hoc,1,Ky su R&D,33.075,31.5,4,C,kha
3273,Thac si,3,Ky su R&D,24.15,23,6,A,kha
3274,Cao dang,7,Tu van ban hang,5.25,5,8,A,Trung binh
3275,Khong bang cap,3,Lap trinh vien,13.65,13,3,D,Khong xep loai
3276,Cao dang,7,Lap trinh vien,23.1,22,7,D,Xuat sac
3277,Dai hoc,20,Lap trinh vien,15.75,15,11,D,Trung binh
3278,Dai hoc,27,PM,23.1,22,0,C,kha
3279,Thac si,0,PM,28.35,27,1,A,Trung binh
3280,Cao dang,1,Tu van ban hang,5.25,5,1,A,Trung binh
3281,Cao dang,6,Ky su R&D,29.925,28.5,3,D,Xuat sac
3282,Dai hoc,13,BA,8.4,8,4,B,Trung binh
3283,Cao dang,11,Tu van ban hang,13.65,13,6,B,kha
3284,Dai hoc,1,Tu van ban hang,7.35,7,3,A,Gioi
3285,Dai hoc,0,Lap trinh vien,6.3,6,0,C,Xuat sac
3286,Dai hoc,0,Lap trinh vien,5.25,5,0,A,Trung binh
3287,Tien si,5,Ky su R&D,22.05,21,14,A,Khong xep loai
3288,Dai hoc,0,Lap trinh vien,14.7,14,1,B,Trung binh
3289,Cao dang,0,PM,9.45,9,1,C,Gioi
3290,Khong bang cap,4,BA,11.55,11,2,B,Khong xep loai
3291,Dai hoc,4,PM,30.45,29,3,A,Gioi
3292,Khong bang cap,6,Ke toan,8.4,8,1,A,Khong xep loai
3293,Dai hoc,3,BA,7.35,7,11,D,Gioi
3294,Dai hoc,11,Lap trinh vien,96.6,92,4,A,kha
3295,Cao dang,0,PM,29.925,28.5,4,B,Xuat sac
3296,Cao dang,0,Lap trinh vien,36.225,34.5,0,C,Gioi
3297,Cao dang,9,Lap trinh vien,5.25,5,6,A,Xuat sac
3298,Dai hoc,1,Lap trinh vien,23.1,22,6,B,kha
3299,Cao dang,2,BA,16.8,16,5,A,Gioi
3300,Cao dang,2,Lap trinh vien,22.05,21,2,A,kha
3301,Cao dang,7,Lap trinh vien,23.1,22,3,C,Xuat sac
3302,Cao dang,0,Ky su R&D,4.2,4,1,A,Xuat sac
3303,Cao dang,0,Ky su R&D,24.15,23,1,C,Gioi
3304,Dai hoc,4,Ke toan,11.55,11,1,A,kha
3305,Dai hoc,34,PM,27.3,26,2,B,Trung binh
3306,Cao dang,0,Lap trinh vien,6.3,6,0,B,Gioi
3307,Thac si,7,Lap trinh vien,16.8,16,0,A,Gioi
3308,Dai hoc,0,Ky su R&D,7.35,7,7,A,kha
3309,Thac si,2,Lap trinh vien,16.8,16,0,A,Xuat sac
3310,Dai hoc,4,BA,15.75,15,5,C,Trung binh
3311,Khong bang cap,1,Lap trinh vien,21,20,0,D,Khong xep loai
3312,Thac si,0,Ky su R&D,29.925,28.5,0,A,Trung binh
3313,Thac si,0,Lap trinh vien,17.85,17,6,A,Xuat sac
3314,Dai hoc,5,PM,13.65,13,1,D,Xuat sac
3315,Dai hoc,1,Lap trinh vien,5.25,5,0,A,Gioi
3316,Dai hoc,3,Lap trinh vien,16.8,16,1,D,Trung binh
3317,Cao dang,8,Lap trinh vien,4.2,4,2,D,Trung binh
3318,Dai hoc,0,Xu ly data,4.2,4,1,C,Trung binh
3319,Dai hoc,7,BA,24.15,23,2,C,Gioi
3320,Cao dang,3,Ky su R&D,24.15,23,4,C,kha
3321,Dai hoc,1,Lap trinh vien,14.7,14,1,C,Gioi
3322,Thac si,4,BA,21,20,0,B,Xuat sac
3323,Dai hoc,2,Ke toan,8.4,8,0,A,Trung binh
3324,Cao dang,0,Tester,7.35,7,1,C,Xuat sac
3325,Dai hoc,1,Ky su R&D,21,20,0,D,Trung binh
3326,Cao dang,0,BA,10.5,10,1,C,Xuat sac
3327,Dai hoc,0,Lap trinh vien,24.15,23,3,B,Trung binh
3328,Dai hoc,11,Tu van ban hang,9.45,9,1,A,Xuat sac
3329,Dai hoc,4,Lap trinh vien,16.8,16,2,C,kha
3330,Cao dang,11,Lap trinh vien,5.25,5,12,B,kha
3331,Cao dang,7,Tu van ban hang,4.2,4,1,C,Trung binh
3332,Cao dang,4,Ke toan,13.65,13,2,D,kha
3333,Dai hoc,4,Ky su R&D,13.65,13,6,B,Trung binh
3334,Dai hoc,10,Lap trinh vien,63,60,5,A,kha
3335,Dai hoc,3,Lap trinh vien,15.75,15,1,B,kha
3336,Cao dang,4,Lap trinh vien,22.05,21,3,C,Xuat sac
3337,Cao dang,8,Tu van ban hang,8.4,8,6,A,Gioi
3338,Cao dang,3,Lap trinh vien,8.4,8,8,B,Trung binh
3339,Dai hoc,13,Ke toan,12.6,12,11,A,Gioi
3340,Cao dang,8,Tu van ban hang,13.65,13,6,A,Gioi
3341,Cao dang,6,Lap trinh vien,24.15,23,2,B,kha
3342,Thac si,12,Tu van ban hang,15.75,15,1,A,kha
3343,Dai hoc,1,Lap trinh vien,8.4,8,1,A,Xuat sac
3344,Dai hoc,14,Xu ly data,14.7,14,1,A,Xuat sac
3345,Cao dang,5,PM,8.4,8,9,D,kha
3346,Khong bang cap,5,Lap trinh vien,23.1,22,4,B,Khong xep loai
3347,Khong bang cap,5,Lap trinh vien,7.35,7,6,D,Khong xep loai
3348,Dai hoc,13,Lap trinh vien,9.45,9,2,C,Xuat sac
3349,Cao dang,8,Lap trinh vien,36.225,34.5,0,A,kha
3350,Dai hoc,17,Lap trinh vien,10.5,10,5,D,kha
3351,Cao dang,0,Ky su R&D,9.45,9,0,D,Trung binh
3352,Cao dang,5,Lap trinh vien,14.175,13.5,2,A,Gioi
3353,Cao dang,25,Ky su R&D,10.5,10,3,A,kha
3354,Dai hoc,1,Lap trinh vien,13.65,13,1,C,Xuat sac
3355,Khong bang cap,1,Ky su R&D,21,20,5,D,Khong xep loai
3356,Dai hoc,0,Lap trinh vien,8.4,8,1,D,Gioi
3357,Dai hoc,5,Lap trinh vien,19.95,19,4,D,Gioi
3358,Cao dang,6,Tester,12.6,12,4,C,Trung binh
3359,Dai hoc,0,Lap trinh vien,8.4,8,7,A,Gioi
3360,Thac si,1,Lap trinh vien,23.1,22,1,A,Xuat sac
3361,Cao dang,16,PM,19.95,19,7,A,Xuat sac
3362,Cao dang,2,Tu van ban hang,9.45,9,5,C,Trung binh
3363,Dai hoc,0,Lap trinh vien,14.7,14,0,C,Xuat sac
3364,Cao dang,17,Lap trinh vien,21,20,2,C,Trung binh
3365,Dai hoc,0,Ky su R&D,24.15,23,0,D,Trung binh
3366,Cao dang,0,Ky su R&D,18.9,18,8,A,Gioi
3367,Dai hoc,2,Ky su R&D,24.15,23,6,C,Xuat sac
3368,Cao dang,4,Lap trinh vien,17.325,16.5,7,B,Xuat sac
3369,Thac si,30,PM,30.45,29,11,A,Trung binh
3370,Khong bang cap,1,Lap trinh vien,13.65,13,2,B,Khong xep loai
3371,Dai hoc,0,Ky su R&D,6.3,6,1,B,Gioi
3372,Cao dang,0,Lap trinh vien,22.05,21,1,B,Trung binh
3373,Khong bang cap,0,Lap trinh vien,7.35,7,3,A,Khong xep loai
3374,Cao dang,14,Lap trinh vien,13.65,13,1,C,kha
3375,Dai hoc,4,Ke toan,8.4,8,1,A,Xuat sac
3376,Dai hoc,0,Lap trinh vien,14.7,14,0,A,kha
3377,Cao dang,0,Lap trinh vien,12.6,12,1,D,kha
3378,Dai hoc,12,Ke toan,4.2,4,12,A,Gioi
3379,Dai hoc,0,Ky su R&D,23.1,22,0,A,Xuat sac
3380,Cao dang,1,Lap trinh vien,12.6,12,0,A,Gioi
3381,Dai hoc,1,Ky su R&D,19.95,19,12,D,Xuat sac
3382,Dai hoc,3,Lap trinh vien,8.4,8,1,C,Gioi
3383,Cao dang,4,Ky su R&D,28.35,27,4,C,kha
3384,Khong bang cap,9,Tu van ban hang,9.45,9,8,B,Khong xep loai
3385,Khong bang cap,3,Ky su R&D,14.7,14,5,C,Khong xep loai
3386,Khong bang cap,4,PM,29.4,28,2,B,Khong xep loai
3387,Dai hoc,0,Ky su R&D,25.2,24,0,C,Xuat sac
3388,Cao dang,0,Lap trinh vien,5.25,5,0,C,Trung binh
3389,Cao dang,0,Ky su R&D,22.05,21,1,C,kha
3390,Khong bang cap,1,Lap trinh vien,5.25,5,0,D,Khong xep loai
3391,Cao dang,6,Lap trinh vien,18.9,18,10,D,kha
3392,Dai hoc,3,PM,26.775,25.5,6,C,kha
3393,Cao dang,1,Lap trinh vien,9.45,9,1,C,Trung binh
3394,Cao dang,8,Tu van ban hang,15.75,15,1,D,Xuat sac
3395,Dai hoc,6,Tu van ban hang,6.3,6,13,D,kha
3396,Cao dang,6,BA,24.15,23,4,D,Trung binh
3397,Cao dang,6,Tu van ban hang,12.6,12,3,A,Xuat sac
3398,Thac si,2,Xu ly data,23.625,22.5,1,A,Trung binh
3399,Cao dang,3,Ky su R&D,7.35,7,0,D,kha
3400,Dai hoc,0,Ky su R&D,16.8,16,1,B,kha
3401,Thac si,0,Lap trinh vien,17.85,17,0,A,Trung binh
3402,Dai hoc,15,Tu van ban hang,13.65,13,13,A,Trung binh
3403,Dai hoc,1,Lap trinh vien,15.75,15,2,B,Gioi
3404,Khong bang cap,0,Lap trinh vien,31.5,30,7,D,Khong xep loai
3405,Dai hoc,4,Lap trinh vien,20.475,19.5,1,C,Trung binh
3406,Cao dang,3,Lap trinh vien,23.625,22.5,3,A,kha
3407,Cao dang,1,Lap trinh vien,4.2,4,0,C,Trung binh
3408,Dai hoc,1,Ky su R&D,17.85,17,5,B,Trung binh
3409,Cao dang,5,Xu ly data,8.4,8,5,D,Trung binh
3410,Cao dang,1,Tu van ban hang,4.2,4,3,D,Trung binh
3411,Dai hoc,13,PM,84,80,12,A,Gioi
3412,Thac si,3,Tu van ban hang,15.75,15,2,A,Trung binh
3413,Dai hoc,3,Lap trinh vien,16.8,16,5,D,Xuat sac
3414,Thac si,11,BA,15.75,15,9,A,kha
3415,Khong bang cap,6,Lap trinh vien,18.9,18,1,C,Khong xep loai
3416,Dai hoc,0,Tu van ban hang,14.7,14,2,A,Trung binh
3417,Cao dang,2,BA,17.85,17,5,B,Gioi
3418,Dai hoc,0,Tu van ban hang,13.65,13,0,A,Trung binh
3419,Cao dang,18,Lap trinh vien,14.7,14,13,B,kha
3420,Dai hoc,0,Lap trinh vien,24.15,23,2,B,Gioi
3421,Cao dang,0,Lap trinh vien,17.85,17,1,C,Gioi
3422,Cao dang,2,Ky su R&D,10.5,10,1,B,Xuat sac
3423,Dai hoc,8,Lap trinh vien,25.2,24,12,D,Gioi
3424,Khong bang cap,0,Lap trinh vien,23.1,22,1,D,Khong xep loai
3425,Cao dang,0,Lap trinh vien,22.05,21,9,C,kha
3426,Khong bang cap,3,Ky su R&D,23.1,22,2,D,Khong xep loai
3427,Dai hoc,0,PM,7.35,7,1,B,Xuat sac
3428,Dai hoc,2,Lap trinh vien,13.65,13,6,A,Trung binh
3429,Cao dang,0,BA,19.95,19,1,D,Gioi
3430,Dai hoc,0,Lap trinh vien,34.65,33,0,D,kha
3431,Dai hoc,2,Lap trinh vien,10.5,10,0,C,Gioi
3432,Cao dang,0,Lap trinh vien,24.15,23,0,B,kha
3433,Cao dang,4,Tester,11.55,11,0,B,Gioi
